,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,BL_ConsProd,ConsProd_bl2513.rcp,dt,0.3088350296020508,0.0,1.0,True,35.0,42.857142857142854,2,"[35, 65]"
1,BL_ConsProd,ConsProd_bl2511.rcp,dt,0.21036982536315918,0.0,1.0,True,32.0,0.0,1,[32]
2,BL_ConsProd,ConsProd_bl2007.rcp,dt,0.10679101943969727,0.0,1.0,True,24.0,0.0,1,[24]
3,BL_ConsProd,ConsProd_bl2010.rcp,dt,0.12958097457885742,0.0,1.0,True,20.0,90.0,2,"[20, 56]"
4,BL_ConsProd,ConsProd_bl2506.rcp,dt,0.33759093284606934,0.0,1.0,True,41.0,47.5609756097561,2,"[41, 80]"
5,BL_ConsProd,ConsProd_bl2004.rcp,dt,0.17308497428894043,0.0,1.0,True,20.0,0.0,1,[20]
6,BL_ConsProd,ConsProd_bl2005.rcp,dt,0.08898806571960449,0.0,1.0,True,17.0,97.05882352941177,2,"[17, 50]"
7,BL_ConsProd,ConsProd_bl2015.rcp,dt,0.09823799133300781,0.0,1.0,True,18.0,0.0,1,[18]
8,BL_ConsProd,ConsProd_bl2008.rcp,dt,0.17125701904296875,0.0,1.0,True,25.0,0.0,1,[25]
9,BL_ConsProd,ConsProd_bl2518.rcp,dt,0.2262890338897705,0.0,1.0,True,25.0,0.0,1,[25]
10,BL_ConsProd,ConsProd_bl2011.rcp,dt,0.14626789093017578,0.0,1.0,True,20.0,120.0,2,"[20, 68]"
11,BL_ConsProd,ConsProd_bl2515.rcp,dt,0.266326904296875,0.0,1.0,True,42.0,10.714285714285714,2,"[42, 51]"
12,BL_ConsProd,ConsProd_bl2508.rcp,dt,0.20546698570251465,0.0,1.0,True,42.0,0.0,1,[42]
13,BL_ConsProd,ConsProd_bl2003.rcp,dt,0.08199191093444824,0.0,1.0,True,18.0,0.0,1,[18]
14,BL_ConsProd,ConsProd_bl2520.rcp,dt,0.24602389335632324,0.0,1.0,True,38.0,0.0,1,[38]
15,BL_ConsProd,ConsProd_bl2006.rcp,dt,0.1304020881652832,0.0,1.0,True,21.0,122.85714285714286,5,"[21, 51, 53, 54, 55]"
16,BL_ConsProd,ConsProd_bl2013.rcp,dt,0.13190913200378418,0.0,1.0,True,25.0,93.0,4,"[25, 55, 56, 57]"
17,BL_ConsProd,ConsProd_bl2510.rcp,dt,0.22878789901733398,0.0,1.0,True,40.0,0.0,1,[40]
18,BL_ConsProd,ConsProd_bl2019.rcp,dt,0.07433700561523438,0.0,1.0,True,15.0,120.0,2,"[15, 51]"
19,BL_ConsProd,ConsProd_bl2512.rcp,dt,0.28122806549072266,0.0,1.0,True,44.0,0.0,1,[44]
20,BL_ConsProd,ConsProd_bl2017.rcp,dt,0.08425617218017578,0.0,1.0,True,18.0,102.77777777777777,2,"[18, 55]"
21,BL_ConsProd,ConsProd_bl2009.rcp,dt,0.08692812919616699,0.0,1.0,True,18.0,116.66666666666667,3,"[18, 49, 50]"
22,BL_ConsProd,ConsProd_bl2016.rcp,dt,0.13006114959716797,0.0,1.0,True,22.0,6.818181818181818,2,"[22, 25]"
23,Pack_ConsProd,ConsProd_Pack032.rcp,dt,0.797982931137085,0.0,1.0,True,89.0,68.25842696629213,4,"[89, 108, 180, 222]"
24,Pack_ConsProd,ConsProd_Pack054.rcp,dt,1.079468011856079,0.0,1.0,True,54.0,17.77777777777778,10,"[54, 57, 58, 59, 60, 62, 63, 66, 78, 79]"
25,Pack_ConsProd,ConsProd_Pack030.rcp,dt,0.11901998519897461,0.0,1.0,True,11.0,279.54545454545456,4,"[11, 51, 52, 53]"
26,Pack_ConsProd,ConsProd_Pack006.rcp,dt,0.33754396438598633,0.0,1.0,True,23.0,15.942028985507244,6,"[23, 24, 25, 26, 29, 33]"
