,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,KSD30_ConsProd,ConsProd_j3033_3.rcp,fct,3.5886430740356445,0.0,1.0,True,134.0,9.701492537313433,3,"[134, 142, 165]"
1,KSD30_ConsProd,ConsProd_j305_10.rcp,fct,271.01273703575134,0.6807228915662651,4279.0,True,166.0,2.108433734939759,2,"[166, 173]"
2,KSD30_ConsProd,ConsProd_j305_7.rcp,fct,272.02053904533386,,3095.0,True,inf,,0,None
3,KSD30_ConsProd,ConsProd_j3031_4.rcp,fct,272.00992703437805,0.06382978723404255,4219.0,True,94.0,14.893617021276196,5,"[94, 101, 103, 112, 127]"
4,KSD30_ConsProd,ConsProd_j3014_4.rcp,fct,273.01766419410706,0.48,1943.0,True,100.0,1.3333333333333046,3,"[100, 101, 102]"
5,KSD30_ConsProd,ConsProd_j3016_4.rcp,fct,273.0186641216278,0.3291139240506329,3818.0,True,79.0,36.708860759484196,4,"[79, 79, 135, 136]"
