,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,KSD30_ConsProd,ConsProd_j3015_2.rcp,ddt,14.074707984924316,0.0,1.0,True,107.0,31.30841121495327,2,"[107, 174]"
1,KSD30_ConsProd,ConsProd_j3012_5.rcp,ddt,17.763396978378296,0.0,1.0,True,87.0,29.885057471264368,3,"[87, 88, 164]"
2,KSD30_ConsProd,ConsProd_j305_4.rcp,ddt,28.302717924118042,0.0,1.0,True,116.0,35.3448275862069,2,"[116, 198]"
3,KSD30_ConsProd,ConsProd_j3015_6.rcp,ddt,18.822767972946167,0.0,1.0,True,109.0,32.11009174311926,2,"[109, 179]"
4,KSD30_ConsProd,ConsProd_j305_3.rcp,ddt,16.15029001235962,0.0,1.0,True,135.0,0.7407407407407407,2,"[135, 137]"
5,KSD30_ConsProd,ConsProd_j3031_6.rcp,ddt,8.962208986282349,0.0,1.0,True,99.0,0.0,1,[99]
6,KSD30_ConsProd,ConsProd_j3018_2.rcp,ddt,6.530371904373169,0.0,1.0,True,156.0,2.2435897435897436,2,"[156, 163]"
7,KSD30_ConsProd,ConsProd_j3012_9.rcp,ddt,19.629955053329468,0.0,1.0,True,102.0,0.0,1,[102]
8,KSD30_ConsProd,ConsProd_j3032_4.rcp,ddt,34.90081810951233,0.0,1.0,True,139.0,0.0,1,[139]
9,KSD30_ConsProd,ConsProd_j3022_5.rcp,ddt,0.14272809028625488,,,False,,,,None
10,KSD30_ConsProd,ConsProd_j307_6.rcp,ddt,7.533771991729736,0.0,1.0,True,49.0,78.57142857142857,2,"[49, 126]"
11,KSD30_ConsProd,ConsProd_j3013_8.rcp,ddt,23.27485990524292,0.0,1.0,True,113.0,30.84702907711757,7,"[113, 138, 143, 144, 151, 166, 180]"
12,KSD30_ConsProd,ConsProd_j3034_6.rcp,ddt,8.02617883682251,0.0,1.0,True,124.0,7.795698924731182,3,"[124, 125, 152]"
13,KSD30_ConsProd,ConsProd_j3043_4.rcp,ddt,6.3472089767456055,0.0,1.0,True,115.0,0.0,1,[115]
14,KSD30_ConsProd,ConsProd_j3041_3.rcp,ddt,7.148936033248901,0.0,1.0,True,125.0,0.0,1,[125]
15,KSD30_ConsProd,ConsProd_j307_3.rcp,ddt,11.7065269947052,0.0,1.0,True,80.0,41.25,2,"[80, 146]"
16,KSD30_ConsProd,ConsProd_j3043_7.rcp,ddt,10.563090801239014,0.0,1.0,True,149.0,6.375838926174497,2,"[149, 168]"
17,KSD30_ConsProd,ConsProd_j3046_4.rcp,ddt,19.45690393447876,0.0,1.0,True,162.0,0.30864197530864196,2,"[162, 163]"
18,KSD30_ConsProd,ConsProd_j3017_10.rcp,ddt,18.10227608680725,0.0,1.0,True,154.0,12.987012987012987,2,"[154, 194]"
19,KSD30_ConsProd,ConsProd_j3038_1.rcp,ddt,7.119349002838135,0.0,1.0,True,138.0,7.608695652173913,4,"[138, 151, 152, 153]"
20,KSD30_ConsProd,ConsProd_j3048_2.rcp,ddt,9.451127052307129,0.0,1.0,True,109.0,13.302752293577981,2,"[109, 138]"
21,KSD30_ConsProd,ConsProd_j3028_3.rcp,ddt,7.402646064758301,0.0,1.0,True,109.0,0.0,1,[109]
22,KSD30_ConsProd,ConsProd_j3013_10.rcp,ddt,5.640347957611084,0.0,1.0,True,79.0,26.582278481012658,2,"[79, 121]"
23,KSD30_ConsProd,ConsProd_j3023_8.rcp,ddt,7.97847318649292,0.0,1.0,True,124.0,23.9247311827957,3,"[124, 167, 170]"
24,KSD30_ConsProd,ConsProd_j309_4.rcp,ddt,14.375114917755127,0.0,1.0,True,124.0,0.0,1,[124]
25,KSD30_ConsProd,ConsProd_j3046_8.rcp,ddt,18.7652690410614,0.0,1.0,True,155.0,6.451612903225806,2,"[155, 175]"
26,KSD30_ConsProd,ConsProd_j3041_10.rcp,ddt,20.499653816223145,0.0,1.0,True,129.0,18.346253229974163,3,"[129, 148, 181]"
27,KSD30_ConsProd,ConsProd_j3018_3.rcp,ddt,10.993169069290161,0.0,1.0,True,113.0,0.0,1,[113]
28,KSD30_ConsProd,ConsProd_j3020_4.rcp,ddt,9.391764163970947,0.0,1.0,True,118.0,0.0,1,[118]
29,KSD30_ConsProd,ConsProd_j3014_6.rcp,ddt,8.84395694732666,0.0,1.0,True,72.0,0.0,1,[72]
30,KSD30_ConsProd,ConsProd_j3011_8.rcp,ddt,15.836891174316406,0.0,1.0,True,123.0,31.165311653116532,3,"[123, 180, 181]"
31,KSD30_ConsProd,ConsProd_j304_4.rcp,ddt,6.840172052383423,0.0,1.0,True,113.0,24.336283185840706,2,"[113, 168]"
32,KSD30_ConsProd,ConsProd_j3015_4.rcp,ddt,16.497344970703125,0.0,1.0,True,105.0,26.666666666666668,2,"[105, 161]"
33,KSD30_ConsProd,ConsProd_j304_3.rcp,ddt,8.053770065307617,0.0,1.0,True,126.0,0.0,1,[126]
34,KSD30_ConsProd,ConsProd_j3033_8.rcp,ddt,11.031253814697266,0.0,1.0,True,123.0,0.0,1,[123]
35,KSD30_ConsProd,ConsProd_j308_4.rcp,ddt,9.451163053512573,0.0,1.0,True,74.0,0.0,1,[74]
36,KSD30_ConsProd,ConsProd_j3021_9.rcp,ddt,6.815375089645386,0.0,1.0,True,102.0,0.0,1,[102]
37,KSD30_ConsProd,ConsProd_j3012_3.rcp,ddt,9.885244846343994,0.0,1.0,True,85.0,0.0,1,[85]
38,KSD30_ConsProd,ConsProd_j3033_1.rcp,ddt,18.73540186882019,0.0,1.0,True,147.0,14.965986394557824,2,"[147, 191]"
39,KSD30_ConsProd,ConsProd_j3030_2.rcp,ddt,18.74215006828308,0.0,1.0,True,119.0,18.907563025210084,2,"[119, 164]"
40,KSD30_ConsProd,ConsProd_j3015_8.rcp,ddt,11.919334888458252,0.0,1.0,True,86.0,0.0,1,[86]
41,KSD30_ConsProd,ConsProd_j3013_1.rcp,ddt,8.720546007156372,0.0,1.0,True,111.0,6.756756756756757,2,"[111, 126]"
42,KSD30_ConsProd,ConsProd_j3041_8.rcp,ddt,17.748512983322144,0.0,1.0,True,158.0,10.337552742616033,3,"[158, 182, 183]"
43,KSD30_ConsProd,ConsProd_j307_9.rcp,ddt,4.012578964233398,0.0,1.0,True,132.0,0.0,1,[132]
44,KSD30_ConsProd,ConsProd_j3020_9.rcp,ddt,6.581298112869263,0.0,1.0,True,139.0,5.755395683453237,2,"[139, 155]"
45,KSD30_ConsProd,ConsProd_j3038_9.rcp,ddt,0.1800088882446289,,,False,,,,None
46,KSD30_ConsProd,ConsProd_j302_4.rcp,ddt,6.396906852722168,0.0,1.0,True,122.0,15.163934426229508,2,"[122, 159]"
47,KSD30_ConsProd,ConsProd_j302_2.rcp,ddt,14.383377075195312,0.0,1.0,True,100.0,39.5,2,"[100, 179]"
48,KSD30_ConsProd,ConsProd_j3015_1.rcp,ddt,9.371561050415039,0.0,1.0,True,91.0,21.611721611721613,3,"[91, 92, 149]"
49,KSD30_ConsProd,ConsProd_j3013_2.rcp,ddt,11.330899000167847,0.0,1.0,True,82.0,38.41463414634146,2,"[82, 145]"
50,KSD30_ConsProd,ConsProd_j3044_4.rcp,ddt,10.073074102401733,0.0,1.0,True,137.0,0.0,1,[137]
51,KSD30_ConsProd,ConsProd_j3023_3.rcp,ddt,6.442451000213623,0.0,1.0,True,120.0,14.333333333333334,5,"[120, 140, 141, 142, 143]"
52,KSD30_ConsProd,ConsProd_j3035_9.rcp,ddt,8.622982025146484,0.0,1.0,True,154.0,7.792207792207792,2,"[154, 178]"
53,KSD30_ConsProd,ConsProd_j3023_4.rcp,ddt,6.862197160720825,0.0,1.0,True,124.0,18.14516129032258,2,"[124, 169]"
54,KSD30_ConsProd,ConsProd_j3031_9.rcp,ddt,7.186822175979614,0.0,1.0,True,113.0,0.0,1,[113]
55,KSD30_ConsProd,ConsProd_j301_8.rcp,ddt,6.863864898681641,0.0,1.0,True,95.0,41.75438596491228,3,"[95, 154, 155]"
56,KSD30_ConsProd,ConsProd_j3043_8.rcp,ddt,12.409648895263672,0.0,1.0,True,160.0,0.0,1,[160]
57,KSD30_ConsProd,ConsProd_j308_2.rcp,ddt,12.230017900466919,0.0,1.0,True,109.0,32.56880733944954,2,"[109, 180]"
58,KSD30_ConsProd,ConsProd_j3021_5.rcp,ddt,0.14179301261901855,,,False,,,,None
59,KSD30_ConsProd,ConsProd_j305_1.rcp,ddt,9.200846910476685,0.0,1.0,True,96.0,32.8125,2,"[96, 159]"
60,KSD30_ConsProd,ConsProd_j3047_4.rcp,ddt,15.085330963134766,0.0,1.0,True,106.0,0.0,1,[106]
61,KSD30_ConsProd,ConsProd_j3035_3.rcp,ddt,6.014143943786621,0.0,1.0,True,104.0,26.923076923076923,3,"[104, 145, 147]"
62,KSD30_ConsProd,ConsProd_j3020_10.rcp,ddt,3.8619930744171143,0.0,1.0,True,112.0,10.267857142857142,2,"[112, 135]"
63,KSD30_ConsProd,ConsProd_j3040_1.rcp,ddt,19.476083993911743,0.0,1.0,True,143.0,13.286713286713287,2,"[143, 181]"
64,KSD30_ConsProd,ConsProd_j3026_10.rcp,ddt,10.595775842666626,0.0,1.0,True,105.0,0.0,1,[105]
65,KSD30_ConsProd,ConsProd_j3020_5.rcp,ddt,6.868762969970703,0.0,1.0,True,97.0,0.0,1,[97]
66,KSD30_ConsProd,ConsProd_j3027_1.rcp,ddt,7.386723041534424,0.0,1.0,True,111.0,0.0,1,[111]
