,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,BL_ConsProd,ConsProd_bl2513.rcp,ddt,3.3459999561309814,0.0,1.0,True,35.0,0.0,1,[35]
1,BL_ConsProd,ConsProd_bl2511.rcp,ddt,1.2430000305175781,0.0,1.0,True,32.0,0.0,1,[32]
2,BL_ConsProd,ConsProd_bl2007.rcp,ddt,0.5019998550415039,0.0,1.0,True,24.0,0.0,1,[24]
3,BL_ConsProd,ConsProd_bl2010.rcp,ddt,0.4179999828338623,0.0,1.0,True,20.0,0.0,1,[20]
4,BL_ConsProd,ConsProd_bl2506.rcp,ddt,1.691999912261963,0.0,1.0,True,41.0,20.73170731707317,2,"[41, 58]"
5,BL_ConsProd,ConsProd_bl2004.rcp,ddt,0.7289998531341553,0.0,1.0,True,20.0,0.0,1,[20]
6,BL_ConsProd,ConsProd_bl2005.rcp,ddt,0.17400002479553223,0.0,0.0,True,17.0,94.11764705882354,2,"[17, 49]"
7,BL_ConsProd,ConsProd_bl2015.rcp,ddt,0.6689999103546143,0.0,1.0,True,18.0,0.0,1,[18]
8,BL_ConsProd,ConsProd_bl2008.rcp,ddt,0.7109999656677246,0.0,1.0,True,25.0,0.0,1,[25]
9,BL_ConsProd,ConsProd_bl2518.rcp,ddt,1.250999927520752,0.0,1.0,True,25.0,0.0,1,[25]
10,BL_ConsProd,ConsProd_bl2011.rcp,ddt,1.1170001029968262,0.0,1.0,True,20.0,0.0,1,[20]
11,BL_ConsProd,ConsProd_bl2515.rcp,ddt,0.8539998531341553,0.0,1.0,True,42.0,0.0,1,[42]
12,BL_ConsProd,ConsProd_bl2508.rcp,ddt,0.875,0.0,1.0,True,42.0,28.571428571428573,2,"[42, 66]"
13,BL_ConsProd,ConsProd_bl2003.rcp,ddt,0.4649999141693115,0.0,1.0,True,18.0,0.0,1,[18]
14,BL_ConsProd,ConsProd_bl2520.rcp,ddt,1.6070001125335693,0.0,1.0,True,38.0,0.0,1,[38]
15,BL_ConsProd,ConsProd_bl2006.rcp,ddt,0.5199999809265137,0.0,1.0,True,21.0,0.0,1,[21]
16,BL_ConsProd,ConsProd_bl2013.rcp,ddt,0.8840000629425049,0.0,1.0,True,25.0,75.0,4,"[25, 37, 56, 57]"
