,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,BL_ConsProd,ConsProd_bl2513.rcp,fct,269.0519998073578,0.7714285714285715,4870.0,True,35.0,32.6984126984064,9,"[35, 37, 39, 42, 47, 48, 49, 50, 64]"
1,BL_ConsProd,ConsProd_bl2511.rcp,fct,268.03700017929077,0.5641025641025641,4290.0,True,39.0,18.20512820379487,10,"[39, 40, 41, 43, 46, 47, 49, 50, 51, 54]"
2,BL_ConsProd,ConsProd_bl2007.rcp,fct,283.03200006484985,0.4166666666666667,22425.0,True,24.0,55.95238095237832,7,"[24, 24, 30, 30, 31, 56, 63]"
3,BL_ConsProd,ConsProd_bl2010.rcp,fct,7.674999952316284,0.0,632.0,True,19.0,45.864661654131396,7,"[19, 20, 21, 24, 25, 27, 53]"
4,BL_ConsProd,ConsProd_bl2506.rcp,fct,269.02300000190735,0.36585365853658536,5843.0,True,41.0,30.73170731707222,10,"[41, 42, 44, 45, 48, 53, 59, 61, 61, 80]"
5,BL_ConsProd,ConsProd_bl2004.rcp,fct,283.0220000743866,0.05,30517.0,True,20.0,20.714285714281598,7,"[20, 20, 21, 23, 25, 26, 28]"
6,BL_ConsProd,ConsProd_bl2005.rcp,fct,283.021999835968,0.64999999996325,18033.0,True,19.999999997899998,18.000000007837357,10,"[19, 20, 20, 21, 21, 22, 23, 23, 29, 32]"
7,BL_ConsProd,ConsProd_bl2015.rcp,fct,282.02499985694885,0.8333333333333334,13226.0,True,18.0,36.11111111110994,10,"[18, 19, 21, 23, 24, 25, 27, 28, 28, 30]"
8,BL_ConsProd,ConsProd_bl2008.rcp,fct,281.6640000343323,0.16,21237.0,True,25.0,78.39999999999672,5,"[25, 28, 36, 64, 68]"
9,BL_ConsProd,ConsProd_bl2518.rcp,fct,269.0329999923706,0.4230769230769231,5882.0,True,26.0,19.615384612922995,10,"[26, 27, 27, 28, 30, 32, 33, 33, 34, 38]"
10,BL_ConsProd,ConsProd_bl2011.rcp,fct,282.02300000190735,0.7,13338.0,True,20.0,60.99999999999477,10,"[20, 21, 24, 25, 27, 31, 40, 42, 43, 44]"
11,BL_ConsProd,ConsProd_bl2515.rcp,fct,267.0590000152588,0.4285714285714285,7606.0,True,42.0,8.095238095233555,5,"[42, 42, 44, 45, 50]"
12,BL_ConsProd,ConsProd_bl2508.rcp,fct,151.36299991607666,0.0,4161.0,True,28.0,15.714285713142415,10,"[28, 29, 30, 30, 30, 32, 33, 35, 36, 38]"
13,BL_ConsProd,ConsProd_bl2003.rcp,fct,282.02100014686584,0.7058823529411765,12934.0,True,17.0,28.23529404376731,10,"[17, 17, 17, 18, 19, 20, 21, 25, 28, 31]"
14,BL_ConsProd,ConsProd_bl2520.rcp,fct,268.0329999923706,0.47368421052631576,3708.0,True,38.0,27.894736842101068,10,"[38, 39, 39, 43, 43, 46, 47, 50, 67, 69]"
15,BL_ConsProd,ConsProd_bl2006.rcp,fct,237.0149998664856,0.0,17421.0,True,17.0,32.9411764705882,10,"[17, 18, 19, 19, 21, 23, 25, 26, 28, 28]"
16,BL_ConsProd,ConsProd_bl2013.rcp,fct,283.02499985694885,0.96,8931.0,True,25.0,50.2857142857087,7,"[25, 29, 30, 30, 32, 56, 58]"
17,BL_ConsProd,ConsProd_bl2510.rcp,fct,269.02899980545044,0.02702702702702703,6338.0,True,37.0,44.01544401544401,7,"[37, 50, 52, 53, 54, 56, 71]"
18,BL_ConsProd,ConsProd_bl2019.rcp,fct,282.0130000114441,0.8,13829.0,True,15.0,53.99999999886506,10,"[15, 15, 16, 17, 19, 19, 21, 29, 30, 45]"
19,BL_ConsProd,ConsProd_bl2512.rcp,fct,268.0239999294281,0.9807692307692307,2672.0,True,52.0,3.8461538461526645,2,"[52, 55]"
20,BL_ConsProd,ConsProd_bl2017.rcp,fct,281.02999997138977,0.5,22257.0,True,18.0,56.111111111105046,10,"[18, 19, 20, 22, 24, 25, 32, 33, 34, 49]"
21,BL_ConsProd,ConsProd_bl2009.rcp,fct,8.736000061035156,0.0,569.0,True,18.0,36.11111111110952,6,"[18, 18, 19, 20, 23, 45]"
22,BL_ConsProd,ConsProd_bl2016.rcp,fct,282.018000125885,0.5909090909090909,18091.0,True,22.0,37.72727272727041,10,"[22, 23, 25, 26, 27, 29, 31, 32, 33, 51]"
