,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,Pack_ConsProd,ConsProd_Pack032.rcp,fct,286.018000125885,0.9878048780487805,18280.0,True,82.0,13.780487804876836,10,"[82, 83, 84, 85, 88, 96, 98, 101, 105, 107]"
1,Pack_ConsProd,ConsProd_Pack054.rcp,fct,284.0590000152588,0.9900990098999902,22089.0,True,100.99999998979999,7.722772287096123,10,"[100, 101, 102, 103, 104, 106, 110, 117, 118, 125]"
2,Pack_ConsProd,ConsProd_Pack030.rcp,fct,280.0279998779297,0.9545454545407025,8179.0,True,21.999999997699998,48.636363649670294,10,"[21, 22, 23, 24, 25, 36, 38, 39, 42, 50]"
3,Pack_ConsProd,ConsProd_Pack006.rcp,fct,283.0160000324249,0.9795918367346939,12996.0,True,49.0,9.999999998938774,10,"[49, 50, 50, 51, 52, 53, 55, 57, 60, 61]"
4,Pack_ConsProd,ConsProd_Pack009.rcp,fct,278.0260000228882,,8270.0,True,inf,,0,None
5,Pack_ConsProd,ConsProd_Pack025.rcp,fct,241.04100012779236,,15.0,True,inf,,0,None
6,Pack_ConsProd,ConsProd_Pack003.rcp,fct,267.0459997653961,0.975,1465.0,True,40.0,48.12499999997295,4,"[40, 45, 74, 75]"
7,Pack_ConsProd,ConsProd_Pack004.rcp,fct,272.0420000553131,0.9824561403508771,2612.0,True,57.0,8.771929821965173,4,"[57, 57, 58, 74]"
8,Pack_ConsProd,ConsProd_Pack041.rcp,fct,258.0369999408722,0.9791666666666666,769.0,True,48.0,39.16666666665714,5,"[48, 65, 71, 73, 75]"
9,Pack_ConsProd,ConsProd_Pack014.rcp,fct,276.0279998779297,0.9807692307692307,4190.0,True,52.0,25.320512820512818,6,"[52, 53, 58, 71, 75, 82]"
10,Pack_ConsProd,ConsProd_Pack013.rcp,fct,289.0110001564026,0.973684210523615,21267.0,True,37.999999996099994,8.947368426917183,10,"[37, 38, 38, 39, 39, 39, 43, 44, 44, 48]"
11,Pack_ConsProd,ConsProd_Pack012.rcp,fct,266.02999997138977,0.987012987012987,1368.0,True,77.0,0.0,1,[77]
12,Pack_ConsProd,ConsProd_Pack020.rcp,fct,236.03600001335144,0.990909090909091,1.0,True,110.0,1.2121212121204028,3,"[110, 110, 113]"
13,Pack_ConsProd,ConsProd_Pack052.rcp,fct,286.01900005340576,0.9890109890098778,27851.0,True,90.99999999079856,6.703296711888019,10,"[90, 91, 93, 94, 95, 97, 98, 99, 106, 106]"
14,Pack_ConsProd,ConsProd_Pack048.rcp,fct,286.62000012397766,0.9871794871768902,21524.0,True,77.99999998419995,5.512820531155223,10,"[77, 77, 79, 80, 81, 82, 83, 85, 88, 89]"
15,Pack_ConsProd,ConsProd_Pack027.rcp,fct,251.03200006484985,0.9901960784313726,130.0,True,102.0,1.4705882352941178,2,"[102, 105]"
