,dataset,file,model,time,gap%,nodes,is_feasible,obtimal%,dev_best%,solution_count,all_solutions
0,KSD30_ConsProd,ConsProd_j3033_3.rcp,ddt,12.421929121017456,0.0,1.0,True,134.0,11.567164179104477,2,"[134, 165]"
1,KSD30_ConsProd,ConsProd_j305_10.rcp,ddt,12.897986888885498,0.0,1.0,True,125.0,2.4,2,"[125, 131]"
2,KSD30_ConsProd,ConsProd_j305_7.rcp,ddt,27.610527992248535,0.0,1.0,True,85.0,54.11764705882353,2,"[85, 177]"
3,KSD30_ConsProd,ConsProd_j3031_4.rcp,ddt,5.944576025009155,0.0,1.0,True,94.0,25.0,2,"[94, 141]"
4,KSD30_ConsProd,ConsProd_j3014_4.rcp,ddt,6.8406288623809814,0.0,1.0,True,100.0,14.0,2,"[100, 128]"
5,KSD30_ConsProd,ConsProd_j3016_4.rcp,ddt,10.302794933319092,0.0,1.0,True,79.0,31.223628691983127,3,"[79, 80, 152]"
6,KSD30_ConsProd,ConsProd_j3028_2.rcp,ddt,12.631027936935425,0.0,1.0,True,121.0,12.396694214876034,2,"[121, 151]"
7,KSD30_ConsProd,ConsProd_j3011_6.rcp,ddt,12.16828203201294,0.0,1.0,True,104.0,0.0,1,[104]
8,KSD30_ConsProd,ConsProd_j3012_4.rcp,ddt,22.523606061935425,0.0,1.0,True,134.0,25.746268656716417,2,"[134, 203]"
9,KSD30_ConsProd,ConsProd_j3040_10.rcp,ddt,14.959557056427002,0.0,1.0,True,135.0,15.185185185185185,2,"[135, 176]"
10,KSD30_ConsProd,ConsProd_j301_7.rcp,ddt,8.6683349609375,0.0,1.0,True,76.0,33.771929824561404,3,"[76, 83, 146]"
11,KSD30_ConsProd,ConsProd_j3019_5.rcp,ddt,9.15553092956543,0.0,1.0,True,132.0,0.0,1,[132]
12,KSD30_ConsProd,ConsProd_j3018_8.rcp,ddt,10.792908906936646,0.0,1.0,True,97.0,0.0,1,[97]
13,KSD30_ConsProd,ConsProd_j3024_7.rcp,ddt,8.60589599609375,0.0,1.0,True,110.0,0.0,1,[110]
14,KSD30_ConsProd,ConsProd_j3014_10.rcp,ddt,9.835693120956421,0.0,1.0,True,142.0,1.408450704225352,3,"[142, 143, 147]"
15,KSD30_ConsProd,ConsProd_j3048_8.rcp,ddt,12.312778949737549,0.0,1.0,True,119.0,0.0,1,[119]
16,KSD30_ConsProd,ConsProd_j3012_6.rcp,ddt,7.415566921234131,0.0,1.0,True,107.0,0.0,1,[107]
17,KSD30_ConsProd,ConsProd_j3029_9.rcp,ddt,34.47167611122131,0.0,1.0,True,132.0,20.454545454545453,2,"[132, 186]"
18,KSD30_ConsProd,ConsProd_j3017_7.rcp,ddt,13.874513149261475,0.0,1.0,True,116.0,25.43103448275862,2,"[116, 175]"
19,KSD30_ConsProd,ConsProd_j3026_9.rcp,ddt,4.067981958389282,0.0,1.0,True,114.0,7.017543859649122,2,"[114, 130]"
20,KSD30_ConsProd,ConsProd_j3024_3.rcp,ddt,20.765376091003418,0.0,1.0,True,158.0,15.822784810126583,2,"[158, 208]"
21,KSD30_ConsProd,ConsProd_j3036_6.rcp,ddt,4.549844980239868,0.0,1.0,True,133.0,0.0,1,[133]
22,KSD30_ConsProd,ConsProd_j3048_4.rcp,ddt,23.717305183410645,0.0,1.0,True,134.0,0.0,1,[134]
23,KSD30_ConsProd,ConsProd_j301_2.rcp,ddt,11.742278099060059,0.0,1.0,True,126.0,0.0,1,[126]
24,KSD30_ConsProd,ConsProd_j3032_2.rcp,ddt,32.32326793670654,0.0,1.0,True,135.0,0.0,1,[135]
25,KSD30_ConsProd,ConsProd_j3047_10.rcp,ddt,32.45330595970154,0.0,1.0,True,155.0,9.67741935483871,2,"[155, 185]"
26,KSD30_ConsProd,ConsProd_j3039_9.rcp,ddt,15.350320816040039,0.0,1.0,True,131.0,16.412213740458014,2,"[131, 174]"
27,KSD30_ConsProd,ConsProd_j3043_10.rcp,ddt,11.114190101623535,0.0,1.0,True,106.0,0.4716981132075472,2,"[106, 107]"
28,KSD30_ConsProd,ConsProd_j3020_6.rcp,ddt,10.638431072235107,0.0,1.0,True,113.0,30.530973451327434,6,"[113, 138, 139, 162, 163, 170]"
29,KSD30_ConsProd,ConsProd_j3048_9.rcp,ddt,16.132586002349854,0.0,1.0,True,149.0,14.988814317673375,3,"[149, 176, 189]"
30,KSD30_ConsProd,ConsProd_j3030_7.rcp,ddt,20.61064910888672,0.0,1.0,True,171.0,0.5847953216374269,2,"[171, 173]"
31,KSD30_ConsProd,ConsProd_j3018_4.rcp,ddt,17.451146841049194,0.0,1.0,True,124.0,0.0,1,[124]
32,KSD30_ConsProd,ConsProd_j3012_10.rcp,ddt,18.453917026519775,0.0,1.0,True,99.0,0.0,1,[99]
33,KSD30_ConsProd,ConsProd_j3046_9.rcp,ddt,7.2557549476623535,0.0,1.0,True,122.0,0.0,1,[122]
34,KSD30_ConsProd,ConsProd_j3011_4.rcp,ddt,13.861113786697388,0.0,1.0,True,137.0,18.978102189781023,2,"[137, 189]"
35,KSD30_ConsProd,ConsProd_j3010_9.rcp,ddt,10.976964950561523,0.0,1.0,True,81.0,0.0,1,[81]
36,KSD30_ConsProd,ConsProd_j3045_6.rcp,ddt,27.598937034606934,0.0,1.0,True,163.0,2.4539877300613497,2,"[163, 171]"
37,KSD30_ConsProd,ConsProd_j3031_7.rcp,ddt,20.701260805130005,0.0,1.0,True,118.0,29.23728813559322,2,"[118, 187]"
38,KSD30_ConsProd,ConsProd_j3026_7.rcp,ddt,9.5084068775177,0.0,1.0,True,130.0,0.0,1,[130]
39,KSD30_ConsProd,ConsProd_j3028_6.rcp,ddt,6.013334035873413,0.0,1.0,True,127.0,12.598425196850394,2,"[127, 159]"
40,KSD30_ConsProd,ConsProd_j3037_2.rcp,ddt,16.475286960601807,0.0,1.0,True,114.0,17.251461988304094,3,"[114, 131, 156]"
41,KSD30_ConsProd,ConsProd_j3043_9.rcp,ddt,13.290920972824097,0.0,1.0,True,117.0,18.376068376068375,2,"[117, 160]"
42,KSD30_ConsProd,ConsProd_j3019_4.rcp,ddt,7.2236549854278564,0.0,1.0,True,98.0,24.489795918367346,2,"[98, 146]"
43,KSD30_ConsProd,ConsProd_j3036_1.rcp,ddt,11.834188222885132,0.0,1.0,True,145.0,12.758620689655173,2,"[145, 182]"
44,KSD30_ConsProd,ConsProd_j3025_10.rcp,ddt,5.288870096206665,0.0,1.0,True,99.0,18.181818181818183,2,"[99, 135]"
45,KSD30_ConsProd,ConsProd_j3032_3.rcp,ddt,22.392411947250366,0.0,1.0,True,126.0,27.38095238095238,2,"[126, 195]"
46,KSD30_ConsProd,ConsProd_j3031_10.rcp,ddt,15.090489864349365,0.0,1.0,True,150.0,0.0,1,[150]
47,KSD30_ConsProd,ConsProd_j3047_6.rcp,ddt,29.294860124588013,0.0,1.0,True,111.0,27.92792792792793,2,"[111, 173]"
48,KSD30_ConsProd,ConsProd_j3038_4.rcp,ddt,18.905426025390625,0.0,1.0,True,178.0,1.404494382022472,2,"[178, 183]"
49,KSD30_ConsProd,ConsProd_j3025_3.rcp,ddt,8.62154507637024,0.0,1.0,True,134.0,8.208955223880597,2,"[134, 156]"
50,KSD30_ConsProd,ConsProd_j3030_4.rcp,ddt,17.240528106689453,0.0,1.0,True,94.0,0.0,1,[94]
51,KSD30_ConsProd,ConsProd_j307_2.rcp,ddt,12.031309127807617,0.0,1.0,True,111.0,21.17117117117117,2,"[111, 158]"
52,KSD30_ConsProd,ConsProd_j3016_8.rcp,ddt,12.057394981384277,0.0,1.0,True,92.0,28.804347826086957,2,"[92, 145]"
53,KSD30_ConsProd,ConsProd_j3045_4.rcp,ddt,12.793723106384277,0.0,1.0,True,143.0,11.188811188811188,2,"[143, 175]"
54,KSD30_ConsProd,ConsProd_j3043_6.rcp,ddt,7.857135772705078,0.0,1.0,True,141.0,0.7092198581560284,2,"[141, 143]"
55,KSD30_ConsProd,ConsProd_j3029_7.rcp,ddt,9.336708068847656,0.0,1.0,True,130.0,0.0,1,[130]
56,KSD30_ConsProd,ConsProd_j303_1.rcp,ddt,14.569333791732788,0.0,1.0,True,111.0,32.13213213213213,3,"[111, 126, 203]"
57,KSD30_ConsProd,ConsProd_j3034_1.rcp,ddt,10.383211851119995,0.0,1.0,True,159.0,7.547169811320755,2,"[159, 183]"
58,KSD30_ConsProd,ConsProd_j3036_2.rcp,ddt,8.741010904312134,0.0,1.0,True,118.0,16.52542372881356,2,"[118, 157]"
59,KSD30_ConsProd,ConsProd_j305_8.rcp,ddt,12.666615962982178,0.0,1.0,True,105.0,31.904761904761905,2,"[105, 172]"
60,KSD30_ConsProd,ConsProd_j3037_1.rcp,ddt,8.588369846343994,0.0,1.0,True,132.0,7.323232323232323,3,"[132, 133, 160]"
61,KSD30_ConsProd,ConsProd_j309_5.rcp,ddt,5.044826030731201,0.0,1.0,True,82.0,20.73170731707317,3,"[82, 107, 108]"
62,KSD30_ConsProd,ConsProd_j3010_5.rcp,ddt,13.6664719581604,0.0,1.0,True,78.0,0.0,1,[78]
63,KSD30_ConsProd,ConsProd_j3027_7.rcp,ddt,18.20379090309143,0.0,1.0,True,128.0,8.984375,2,"[128, 151]"
64,KSD30_ConsProd,ConsProd_j3030_5.rcp,ddt,12.639620065689087,0.0,1.0,True,133.0,13.533834586466165,2,"[133, 169]"
65,KSD30_ConsProd,ConsProd_j3048_5.rcp,ddt,9.500444889068604,0.0,1.0,True,125.0,20.4,2,"[125, 176]"
66,KSD30_ConsProd,ConsProd_j308_9.rcp,ddt,12.866219997406006,0.0,1.0,True,87.0,44.252873563218394,2,"[87, 164]"
67,KSD30_ConsProd,ConsProd_j3040_5.rcp,ddt,10.881546020507812,0.0,1.0,True,132.0,16.28787878787879,2,"[132, 175]"
68,KSD30_ConsProd,ConsProd_j307_1.rcp,ddt,7.560594081878662,0.0,1.0,True,118.0,0.0,1,[118]
69,KSD30_ConsProd,ConsProd_j3039_6.rcp,ddt,10.618757963180542,0.0,1.0,True,146.0,15.753424657534246,3,"[146, 180, 181]"
70,KSD30_ConsProd,ConsProd_j309_3.rcp,ddt,9.181255102157593,0.0,1.0,True,137.0,0.0,1,[137]
71,KSD30_ConsProd,ConsProd_j3048_3.rcp,ddt,8.344339847564697,0.0,1.0,True,118.0,13.559322033898304,2,"[118, 150]"
72,KSD30_ConsProd,ConsProd_j3016_10.rcp,ddt,10.767228126525879,0.0,1.0,True,76.0,0.0,1,[76]
73,KSD30_ConsProd,ConsProd_j3032_1.rcp,ddt,15.661906957626343,0.0,1.0,True,158.0,2.2151898734177213,2,"[158, 165]"
74,KSD30_ConsProd,ConsProd_j3038_10.rcp,ddt,16.102696895599365,0.0,1.0,True,131.0,0.0,1,[131]
75,KSD30_ConsProd,ConsProd_j3036_5.rcp,ddt,11.270317077636719,0.0,1.0,True,133.0,0.0,1,[133]
76,KSD30_ConsProd,ConsProd_j302_8.rcp,ddt,10.23153305053711,0.0,1.0,True,86.0,44.18604651162791,2,"[86, 162]"
77,KSD30_ConsProd,ConsProd_j3017_4.rcp,ddt,4.905274868011475,0.0,1.0,True,89.0,0.5617977528089888,2,"[89, 90]"
78,KSD30_ConsProd,ConsProd_j309_1.rcp,ddt,53.09792399406433,0.0,1814.0,True,79.0,19.349005424954793,7,"[79, 80, 82, 83, 86, 87, 163]"
79,KSD30_ConsProd,ConsProd_j3022_8.rcp,ddt,8.06224012374878,0.0,1.0,True,126.0,12.301587301587302,2,"[126, 157]"
80,KSD30_ConsProd,ConsProd_j3022_1.rcp,ddt,0.13286209106445312,,,False,,,,None
81,KSD30_ConsProd,ConsProd_j3014_9.rcp,ddt,9.253513097763062,0.0,1.0,True,105.0,0.47619047619047616,2,"[105, 106]"
82,KSD30_ConsProd,ConsProd_j3025_1.rcp,ddt,13.87860918045044,0.0,1.0,True,140.0,0.7142857142857143,3,"[140, 141, 142]"
83,KSD30_ConsProd,ConsProd_j3013_7.rcp,ddt,7.307912111282349,0.0,1.0,True,117.0,0.0,1,[117]
84,KSD30_ConsProd,ConsProd_j3018_1.rcp,ddt,8.567914962768555,0.0,1.0,True,100.0,49.16666666666666,6,"[100, 157, 158, 159, 160, 161]"
85,KSD30_ConsProd,ConsProd_j3015_3.rcp,ddt,7.127298831939697,0.0,1.0,True,84.0,40.079365079365076,3,"[84, 134, 135]"
86,KSD30_ConsProd,ConsProd_j3039_4.rcp,ddt,13.302880048751831,0.0,1.0,True,153.0,5.882352941176471,3,"[153, 154, 179]"
87,KSD30_ConsProd,ConsProd_j302_1.rcp,ddt,6.5160229206085205,0.0,1.0,True,81.0,40.74074074074074,2,"[81, 147]"
88,KSD30_ConsProd,ConsProd_j3037_5.rcp,ddt,20.254231214523315,0.0,1.0,True,177.0,0.0,1,[177]
89,KSD30_ConsProd,ConsProd_j3038_6.rcp,ddt,6.133288145065308,0.0,1.0,True,136.0,11.029411764705882,2,"[136, 166]"
90,KSD30_ConsProd,ConsProd_j3013_4.rcp,ddt,5.963423013687134,0.0,1.0,True,127.0,8.26771653543307,2,"[127, 148]"
91,KSD30_ConsProd,ConsProd_j3019_2.rcp,ddt,22.97727394104004,0.0,1.0,True,120.0,0.0,1,[120]
92,KSD30_ConsProd,ConsProd_j3021_7.rcp,ddt,8.332406044006348,0.0,1.0,True,104.0,7.211538461538462,2,"[104, 119]"
93,KSD30_ConsProd,ConsProd_j306_3.rcp,ddt,12.96674394607544,0.0,1.0,True,94.0,0.0,1,[94]
94,KSD30_ConsProd,ConsProd_j3022_7.rcp,ddt,19.430832147598267,0.0,1.0,True,121.0,25.619834710743802,2,"[121, 183]"
95,KSD30_ConsProd,ConsProd_j3025_2.rcp,ddt,8.102658987045288,0.0,1.0,True,102.0,0.0,1,[102]
96,KSD30_ConsProd,ConsProd_j3041_2.rcp,ddt,8.70276403427124,0.0,1.0,True,128.0,13.28125,2,"[128, 162]"
97,KSD30_ConsProd,ConsProd_j3040_6.rcp,ddt,7.781780958175659,0.0,1.0,True,135.0,10.74074074074074,2,"[135, 164]"
98,KSD30_ConsProd,ConsProd_j3046_3.rcp,ddt,12.007773876190186,0.0,1.0,True,129.0,0.0,1,[129]
99,KSD30_ConsProd,ConsProd_j3018_10.rcp,ddt,9.135441064834595,0.0,1.0,True,104.0,0.0,1,[104]
100,KSD30_ConsProd,ConsProd_j304_1.rcp,ddt,4.295845985412598,0.0,1.0,True,92.0,0.0,1,[92]
101,KSD30_ConsProd,ConsProd_j3026_3.rcp,ddt,8.39350700378418,0.0,1.0,True,104.0,0.0,1,[104]
102,KSD30_ConsProd,ConsProd_j303_3.rcp,ddt,12.941926956176758,0.0,1.0,True,98.0,39.285714285714285,2,"[98, 175]"
103,KSD30_ConsProd,ConsProd_j3037_6.rcp,ddt,17.090774059295654,0.0,1.0,True,137.0,0.0,1,[137]
104,KSD30_ConsProd,ConsProd_j3021_6.rcp,ddt,16.90455913543701,0.0,1.0,True,133.0,0.0,1,[133]
105,KSD30_ConsProd,ConsProd_j309_8.rcp,ddt,18.006169080734253,0.0,1.0,True,117.0,0.0,1,[117]
106,KSD30_ConsProd,ConsProd_j3046_2.rcp,ddt,21.722970962524414,0.0,1.0,True,162.0,8.333333333333334,2,"[162, 189]"
107,KSD30_ConsProd,ConsProd_j303_7.rcp,ddt,4.168462038040161,0.0,1.0,True,100.0,23.0,2,"[100, 146]"
108,KSD30_ConsProd,ConsProd_j3024_10.rcp,ddt,8.433969974517822,0.0,1.0,True,110.0,20.90909090909091,2,"[110, 156]"
109,KSD30_ConsProd,ConsProd_j3038_5.rcp,ddt,13.177474975585938,0.0,1.0,True,146.0,0.0,1,[146]
110,KSD30_ConsProd,ConsProd_j3011_1.rcp,ddt,10.79143500328064,0.0,1.0,True,100.0,0.0,1,[100]
111,KSD30_ConsProd,ConsProd_j3033_7.rcp,ddt,4.270020008087158,0.0,1.0,True,137.0,6.204379562043796,2,"[137, 154]"
112,KSD30_ConsProd,ConsProd_j3030_10.rcp,ddt,11.039068937301636,0.0,1.0,True,118.0,0.0,1,[118]
113,KSD30_ConsProd,ConsProd_j3030_8.rcp,ddt,6.403573989868164,0.0,1.0,True,134.0,5.223880597014926,3,"[134, 144, 145]"
114,KSD30_ConsProd,ConsProd_j303_2.rcp,ddt,5.403451204299927,0.0,1.0,True,104.0,3.8461538461538463,2,"[104, 112]"
115,KSD30_ConsProd,ConsProd_j3029_10.rcp,ddt,5.597037076950073,0.0,1.0,True,96.0,16.666666666666668,5,"[96, 109, 110, 113, 132]"
116,KSD30_ConsProd,ConsProd_j304_7.rcp,ddt,14.253392934799194,0.0,1.0,True,110.0,0.0,1,[110]
